feature,importance
lag_1,32.953701329374375
rolling_mean_4,15.47668141939032
WeekOfYear,12.911938682792956
lag_4,7.415413697491527
Dept,7.362891625459634
lag_2,6.6308530809363
rolling_mean_8,4.496428562073246
IsHoliday,3.684387297784272
MarkDown3,2.5299414120482124
Month,2.016037939504094
Type,1.7133635189428447
Unemployment,0.4505793194028016
Temperature,0.4004812031161296
Store,0.33907014500474575
Size,0.33394670920027975
Fuel_Price,0.2671751604884125
MarkDown5,0.24117170368366933
MarkDown2,0.2407507546318859
CPI,0.18922601151463309
MarkDown1,0.16209217732264292
MarkDown4,0.1615635687506503
Year,0.022304681086411145
