iter	RMSE
0	21226.73295
1	19725.22556
2	18353.50523
3	17099.53811
4	15945.24281
5	14903.97673
6	13950.36162
7	13099.28242
8	12299.30968
9	11578.74753
10	10933.10723
11	10345.64502
12	9812.78961
13	9321.809722
14	8891.48666
15	8492.918678
16	8141.744092
17	7823.662053
18	7542.461963
19	7287.931946
20	7075.797809
21	6873.690336
22	6696.521728
23	6550.256006
24	6412.531067
25	6290.184034
26	6184.697797
27	6048.301761
28	5942.0443
29	5857.659149
30	5786.072845
31	5707.851533
32	5631.882611
33	5566.02609
34	5522.849018
35	5471.547001
36	5424.598302
37	5386.922226
38	5351.227587
39	5320.244651
40	5287.943533
41	5254.97708
42	5237.564031
43	5205.405576
44	5175.4904
45	5125.06993
46	5097.111355
47	5080.985366
48	5026.443591
49	5011.926851
50	4998.720111
51	4987.347435
52	4954.554131
53	4943.270087
54	4908.219702
55	4887.985781
56	4876.789427
57	4867.252111
58	4857.55509
59	4850.380835
60	4833.913576
61	4820.995433
62	4812.373816
63	4804.845041
64	4789.314663
65	4741.112525
66	4722.618268
67	4717.933024
68	4698.994667
69	4691.126312
70	4686.594215
71	4669.261625
72	4661.096631
73	4648.999192
74	4642.295179
75	4635.298615
76	4629.230217
77	4623.269885
78	4587.519842
79	4578.925455
80	4573.224597
81	4570.369955
82	4559.414489
83	4553.861776
84	4548.144702
85	4543.27896
86	4537.275967
87	4522.937664
88	4513.917687
89	4507.855066
90	4500.797171
91	4492.100168
92	4477.380568
93	4476.080651
94	4470.418645
95	4466.415827
96	4459.266864
97	4455.56211
98	4450.077111
99	4437.870887
100	4430.10907
101	4423.179032
102	4409.820011
103	4401.523997
104	4396.816377
105	4392.644237
106	4386.050851
107	4378.628124
108	4374.807239
109	4367.937427
110	4362.086847
111	4359.503664
112	4358.026482
113	4347.221558
114	4344.100098
115	4315.202774
116	4312.818169
117	4307.081668
118	4290.972109
119	4287.547283
120	4282.758443
121	4278.209866
122	4275.203286
123	4271.105399
124	4267.070487
125	4263.471121
126	4251.908807
127	4247.165746
128	4244.046795
129	4239.113072
130	4229.965614
131	4226.786153
132	4222.840875
133	4219.140599
134	4217.988887
135	4213.62559
136	4207.366653
137	4204.587712
138	4198.267849
139	4194.932199
140	4190.748371
141	4184.092983
142	4181.690379
143	4171.61558
144	4169.663175
145	4166.456416
146	4162.360236
147	4161.276148
148	4157.630706
149	4150.334357
150	4147.582339
151	4132.954809
152	4129.7454
153	4125.143587
154	4121.306128
155	4113.323667
156	4107.06872
157	4104.390003
158	4091.317655
159	4088.718274
160	4083.146149
161	4080.180686
162	4078.791591
163	4076.302598
164	4066.003905
165	4063.003814
166	4061.35538
167	4057.810286
168	4053.929501
169	4047.964768
170	4043.163355
171	4036.118513
172	4032.129089
173	4027.225204
174	4019.65079
175	4016.865467
176	4014.763691
177	4010.278215
178	4008.188239
179	4000.5475
180	3998.542544
181	3997.404517
182	3996.327091
183	3992.286736
184	3986.62876
185	3984.373951
186	3981.725277
187	3977.187449
188	3973.291535
189	3972.010949
190	3970.884357
191	3967.901211
192	3962.914012
193	3960.246682
194	3955.724034
195	3948.588859
196	3944.053707
197	3941.000951
198	3933.041639
199	3930.976666
200	3928.884992
201	3923.882921
202	3923.112095
203	3914.124625
204	3910.582092
205	3909.697208
206	3903.723746
207	3901.694789
208	3899.315038
209	3896.264208
210	3893.685983
211	3891.223049
212	3889.843886
213	3887.512554
214	3883.866824
215	3881.059016
216	3876.772557
217	3871.668181
218	3868.905185
219	3866.786961
220	3864.529342
221	3855.88261
222	3853.814333
223	3850.962485
224	3849.511552
225	3846.827046
226	3840.286857
227	3834.662759
228	3832.632273
229	3824.628426
230	3820.373707
231	3817.862319
232	3815.512382
233	3813.888067
234	3811.419052
235	3809.220745
236	3804.739969
237	3793.637107
238	3790.642383
239	3788.557829
240	3784.6851
241	3779.934684
242	3776.179652
243	3774.247967
244	3771.87279
245	3769.680557
246	3759.36691
247	3758.764667
248	3756.401528
249	3754.791192
250	3752.923164
251	3749.96659
252	3748.206394
253	3744.100986
254	3741.951317
255	3740.55702
256	3738.513207
257	3736.414087
258	3731.382043
259	3727.083637
260	3724.884199
261	3718.921937
262	3716.565735
263	3712.489403
264	3708.430649
265	3703.892854
266	3699.560431
267	3697.762104
268	3695.298437
269	3693.794823
270	3691.495719
271	3689.162595
272	3680.928778
273	3678.966216
274	3674.428088
275	3671.464673
276	3669.781757
277	3668.17676
278	3666.79526
279	3664.833718
280	3661.708001
281	3657.568183
282	3655.913817
283	3653.723805
284	3651.615531
285	3650.349177
286	3648.562572
287	3646.249023
288	3645.752338
289	3635.938399
290	3633.766824
291	3632.002866
292	3630.756636
293	3625.097198
294	3622.919011
295	3620.937272
296	3617.437324
297	3616.281192
298	3612.063596
299	3609.071022
300	3605.024265
301	3603.637562
302	3600.790218
303	3599.963227
304	3590.417327
305	3588.730432
306	3586.661779
307	3585.268551
308	3583.644401
309	3582.071485
310	3580.781458
311	3579.74816
312	3577.615572
313	3576.335704
314	3575.468384
315	3573.144302
316	3571.429742
317	3569.200618
318	3568.545943
319	3566.829102
320	3565.532259
321	3563.75615
322	3562.153187
323	3560.513136
324	3558.630712
325	3556.608521
326	3552.181172
327	3550.854816
328	3549.86719
329	3549.017539
330	3547.542094
331	3546.061948
332	3543.484038
333	3542.035132
334	3537.110919
335	3535.216617
336	3534.043898
337	3533.069797
338	3532.824196
339	3531.333415
340	3530.224158
341	3529.075231
342	3528.468567
343	3523.092447
344	3521.739806
345	3519.664625
346	3517.207821
347	3516.829142
348	3515.131473
349	3511.975124
350	3508.740607
351	3506.994869
352	3505.674753
353	3500.346385
354	3497.706187
355	3493.346219
356	3492.850777
357	3489.848597
358	3488.189115
359	3484.647455
360	3483.609321
361	3481.489361
362	3475.385926
363	3472.228867
364	3470.516043
365	3466.5502
366	3465.044331
367	3463.916558
368	3458.941854
369	3457.786858
370	3456.73933
371	3449.073698
372	3447.489608
373	3446.095514
374	3444.810369
375	3443.158181
376	3442.154008
377	3440.697868
378	3440.156222
379	3438.602567
380	3437.362213
381	3432.990209
382	3431.68156
383	3430.447122
384	3429.034142
385	3425.883128
386	3424.796418
387	3423.604306
388	3422.881939
389	3420.2364
390	3418.362173
391	3415.735465
392	3409.422719
393	3406.92128
394	3404.843936
395	3403.792292
396	3400.63833
397	3399.222841
398	3398.21992
399	3396.672835
400	3395.130656
401	3394.101799
402	3391.496145
403	3390.102292
404	3388.316972
405	3387.471495
406	3385.890858
407	3384.484792
408	3382.812947
409	3380.417875
410	3379.951368
411	3378.268383
412	3377.500126
413	3376.047093
414	3374.364314
415	3373.509278
416	3372.05162
417	3370.61468
418	3369.118052
419	3367.93442
420	3366.72254
421	3365.880466
422	3364.510526
423	3362.977674
424	3361.668384
425	3360.328698
426	3359.083761
427	3358.352645
428	3356.921573
429	3356.245968
430	3352.672586
431	3351.90021
432	3350.608115
433	3350.069298
434	3348.62107
435	3347.49204
436	3341.750081
437	3340.348255
438	3338.881093
439	3336.677192
440	3335.473234
441	3333.85349
442	3332.723003
443	3331.34828
444	3329.496299
445	3318.610626
446	3317.027182
447	3315.851996
