iter	Passed	Remaining
0	343	171611
1	520	129617
2	684	113402
3	850	105512
4	1025	101482
5	1194	98340
6	1379	97138
7	1561	96034
8	1722	93984
9	1884	92346
10	2048	91060
11	2221	90342
12	2393	89681
13	2565	89055
14	2733	88367
15	2915	88200
16	3081	87541
17	3233	86575
18	3401	86121
19	3567	85621
20	3742	85370
21	3921	85198
22	4088	84794
23	4209	83482
24	4373	83103
25	4548	82922
26	4722	82722
27	4904	82676
28	5088	82639
29	5239	82093
30	5402	81734
31	5573	81513
32	5738	81207
33	5893	80779
34	6051	80399
35	6227	80260
36	6386	79921
37	6504	79085
38	6669	78835
39	6847	78743
40	7011	78489
41	7158	78063
42	7317	77769
43	7461	77332
44	7611	76956
45	7767	76658
46	7931	76446
47	8096	76238
48	8256	75991
49	8416	75750
50	8590	75632
51	8752	75408
52	8912	75170
53	9080	74998
54	9236	74733
55	9410	74610
56	9572	74393
57	9730	74150
58	9898	73989
59	10086	73966
60	10242	73713
61	10397	73454
62	10535	73079
63	10711	72973
64	10870	72747
65	11027	72516
66	11190	72321
67	11350	72107
68	11500	71837
69	11678	71739
70	11854	71630
71	12019	71449
72	12183	71266
73	12344	71062
74	12502	70846
75	12670	70688
76	12851	70598
77	13016	70422
78	13179	70232
79	13343	70053
80	13486	69762
81	13630	69482
82	13794	69304
83	13961	69143
84	14118	68930
85	14270	68699
86	14432	68512
87	14604	68374
88	14772	68220
89	14956	68133
90	15134	68023
91	15287	67796
92	15460	67659
93	15641	67557
94	15805	67380
95	15976	67233
96	16160	67142
97	16324	66964
98	16489	66792
99	16674	66697
100	16851	66571
101	17040	66489
102	17216	66360
103	17397	66242
104	17564	66075
105	17733	65915
106	17919	65817
107	18083	65635
108	18251	65472
109	18431	65347
110	18596	65170
111	18775	65045
112	18957	64925
113	19146	64829
114	19325	64696
115	19508	64579
116	19692	64463
117	19859	64292
118	20029	64128
119	20190	63937
120	20370	63806
121	20551	63675
122	20724	63521
123	20900	63375
124	21074	63222
125	21235	63031
126	21416	62901
127	21580	62719
128	21751	62555
129	21921	62391
130	22093	62232
131	22253	62039
132	22424	61876
133	22603	61737
134	22768	61559
135	22940	61400
136	23102	61213
137	23267	61035
138	23424	60836
139	23596	60677
140	23764	60506
141	23931	60333
142	24103	60174
143	24259	59974
144	24425	59801
145	24602	59651
146	24785	59517
147	24965	59376
148	25125	59189
149	25279	58986
150	25445	58811
151	25608	58630
152	25771	58448
153	25946	58295
154	26124	58148
155	26265	57919
156	26439	57763
157	26606	57590
158	26772	57417
159	26940	57249
160	27108	57078
161	27251	56857
162	27438	56729
163	27611	56570
164	27785	56413
165	27954	56245
166	28132	56096
167	28301	55928
168	28469	55760
169	28642	55600
170	28815	55441
171	28990	55283
172	29158	55114
173	29313	54920
174	29495	54777
175	29668	54616
176	29824	54425
177	29990	54253
178	30156	54080
179	30307	53879
180	30492	53741
181	30671	53591
182	30854	53446
183	31026	53284
184	31189	53106
185	31349	52923
186	31520	52759
187	31693	52598
188	31850	52410
189	32031	52261
190	32203	52099
191	32371	51929
192	32547	51772
193	32711	51595
194	32882	51431
195	33047	51257
196	33213	51085
197	33389	50927
198	33555	50755
199	33732	50598
200	33899	50427
201	34071	50264
202	34225	50073
203	34411	49930
204	34609	49803
205	34808	49678
206	35010	49555
207	35196	49410
208	35359	49232
209	35538	49077
210	35722	48928
211	35898	48767
212	36079	48613
213	36259	48459
214	36431	48293
215	36610	48136
216	36805	47999
217	36991	47850
218	37167	47689
219	37361	47551
220	37546	47400
221	37740	47260
222	37919	47101
223	38113	46961
224	38281	46788
225	38457	46625
226	38649	46481
227	38841	46336
228	39050	46212
229	39267	46096
230	39509	46009
231	39755	45924
232	39944	45773
233	40138	45626
234	40405	45563
235	40622	45442
236	40813	45291
237	41006	45141
238	41207	45001
239	41391	44840
240	41570	44675
241	41772	44534
242	41943	44360
243	42135	44207
244	42325	44053
245	42522	43905
246	42688	43725
247	42872	43563
248	43043	43388
249	43200	43200
250	43361	43015
251	43531	42840
252	43690	42653
253	43849	42468
254	44002	42277
255	44168	42097
256	44326	41911
257	44488	41729
258	44674	41570
259	44877	41425
260	45047	41250
261	45217	41075
262	45383	40897
263	45552	40721
264	45736	40558
265	45905	40383
266	46095	40225
267	46254	40040
268	46428	39869
269	46608	39703
270	46774	39524
271	46941	39347
272	47110	39172
273	47280	38997
274	47459	38830
275	47615	38644
276	47778	38464
277	47934	38278
278	48101	38101
279	48293	37944
280	48497	37797
281	48666	37621
282	48830	37442
283	48989	37259
284	49173	37095
285	49330	36911
286	49488	36728
287	49651	36548
288	49829	36380
289	50008	36212
290	50161	36026
291	50333	35854
292	50497	35675
293	50670	35504
294	50837	35328
295	51002	35150
296	51171	34975
297	51343	34803
298	51518	34632
299	51686	34457
300	51855	34282
301	52022	34107
302	52198	33937
303	52365	33761
304	52554	33600
305	52716	33421
306	52884	33246
307	53057	33074
308	53231	32903
309	53387	32721
310	53545	32540
311	53713	32365
312	53874	32187
313	54032	32006
314	54186	31824
